date,merchant,amount,category
2025-11-09,Total Energies,577.46,Transport
2025-11-09,KFC Nairobi,481.06,Food
2025-11-09,KFC Nairobi,481.06,Food
2025-11-09,Total Energies,577.46,Transport
2025-11-09,KFC Nairobi,822.36,Food
2025-11-09,KFC Nairobi,822.36,Food
2025-11-10,Safaricom,4428.51,Utilities
2025-11-10,Rent Payment,34138.34,Rent
2025-11-10,Nairobi Water,4406.41,Utilities
2025-11-10,Nairobi Water,4406.41,Utilities
2025-11-10,Safaricom,4428.51,Utilities
2025-11-10,Kilimall,3654.58,Shopping
2025-11-10,Matatu Fare,697.88,Transport
2025-11-10,Matatu Fare,697.88,Transport
2025-11-10,Netflix,509.1,Entertainment
2025-11-10,Woolworths,7142.8,Shopping
2025-11-10,Woolworths,7142.8,Shopping
2025-11-10,Rent Payment,34138.34,Rent
2025-11-10,Kilimall,3654.58,Shopping
2025-11-10,Netflix,509.1,Entertainment
2025-11-11,Kilimall,8373.06,Shopping
2025-11-11,Subway Westgate,2463.45,Food
2025-11-11,Kilimall,8373.06,Shopping
2025-11-11,Artcaffe,661.6,Food
2025-11-11,Showmax,819.14,Entertainment
2025-11-11,Artcaffe,661.6,Food
2025-11-11,Showmax,819.14,Entertainment
2025-11-11,Subway Westgate,2463.45,Food
2025-11-13,Bank Transfer,6844.48,Other
2025-11-13,Subway Westgate,959.64,Food
2025-11-13,Subway Westgate,1386.3,Food
2025-11-13,Java House,1810.08,Food
2025-11-13,Subway Westgate,1386.3,Food
2025-11-13,Bank Transfer,6844.48,Other
2025-11-13,Java House,1810.08,Food
2025-11-13,Subway Westgate,959.64,Food
2025-11-14,Carrefour,2150.65,Food
2025-11-14,Showmax,1419.91,Entertainment
2025-11-14,Showmax,1419.91,Entertainment
2025-11-14,Mama Oliech,676.92,Food
2025-11-14,Carrefour,2150.65,Food
2025-11-14,Mama Oliech,676.92,Food
2025-11-14,Netflix,1421.5,Entertainment
2025-11-14,Haltons Pharmacy,471.43,Health
2025-11-14,Netflix,1421.5,Entertainment
2025-11-14,Haltons Pharmacy,471.43,Health
2025-11-15,Subway Westgate,848.97,Food
2025-11-15,Carrefour,1091.66,Food
2025-11-15,Mama Oliech,2333.19,Food
2025-11-15,Mama Oliech,2333.19,Food
2025-11-15,Subway Westgate,848.97,Food
2025-11-15,Carrefour,1091.66,Food
2025-11-17,Kilimall,2454.81,Shopping
2025-11-17,Total Energies,348.11,Transport
2025-11-17,KFC Nairobi,1966.71,Food
2025-11-17,Mama Oliech,704.08,Food
2025-11-17,Total Energies,348.11,Transport
2025-11-17,Mama Oliech,704.08,Food
2025-11-17,Zara Village Market,1345.14,Shopping
2025-11-17,KFC Nairobi,1966.71,Food
2025-11-17,Kilimall,2454.81,Shopping
2025-11-17,Zara Village Market,1345.14,Shopping
2025-11-18,Zara Village Market,1272.03,Shopping
2025-11-18,Kenya Bus,439.46,Transport
2025-11-18,Zara Village Market,1272.03,Shopping
2025-11-18,Kenya Bus,439.46,Transport
2025-11-19,KFC Nairobi,2102.22,Food
2025-11-19,Total Energies,94.37,Transport
2025-11-19,Nairobi Water,2818.76,Utilities
2025-11-19,Total Energies,94.37,Transport
2025-11-19,KFC Nairobi,2102.22,Food
2025-11-19,Nairobi Water,2818.76,Utilities
2025-11-20,Artcaffe,330.32,Food
2025-11-20,Subway Westgate,224.69,Food
2025-11-20,Kenya Bus,418.79,Transport
2025-11-20,Subway Westgate,224.69,Food
2025-11-20,Kenya Bus,418.79,Transport
2025-11-20,Artcaffe,330.32,Food
2025-11-21,Jumia,1979.63,Shopping
2025-11-21,Mama Oliech,304.89,Food
2025-11-21,Mama Oliech,304.89,Food
2025-11-21,Jumia,1979.63,Shopping
2025-11-22,Artcaffe,2134.41,Food
2025-11-22,Uber,289.01,Transport
2025-11-22,Mama Oliech,1835.79,Food
2025-11-22,Uber,289.01,Transport
2025-11-22,DStv,698.39,Entertainment
2025-11-22,Mama Oliech,1835.79,Food
2025-11-22,M-Pesa Send Money,1358.6,Other
2025-11-22,DStv,698.39,Entertainment
2025-11-22,M-Pesa Send Money,1358.6,Other
2025-11-22,Artcaffe,2134.41,Food
2025-11-23,Nairobi Hospital,4525.42,Health
2025-11-23,M-Pesa Send Money,3468.26,Other
2025-11-23,Nairobi Hospital,4525.42,Health
2025-11-23,M-Pesa Send Money,3468.26,Other
2025-11-24,Kilimall,11594.29,Shopping
2025-11-24,Nairobi Hospital,4386.19,Health
2025-11-24,ATM Withdrawal,5322.98,Other
2025-11-24,Kilimall,11594.29,Shopping
2025-11-24,ATM Withdrawal,5322.98,Other
2025-11-24,Nairobi Hospital,4386.19,Health
2025-11-25,Carrefour,961.16,Food
2025-11-25,Nairobi Water,1727.77,Utilities
2025-11-25,Spotify,973.09,Entertainment
2025-11-25,Jumia,11048.31,Shopping
2025-11-25,Carrefour,961.16,Food
2025-11-25,Netflix,1206.94,Entertainment
2025-11-25,Jumia,11048.31,Shopping
2025-11-25,Netflix,1206.94,Entertainment
2025-11-25,Nairobi Water,1727.77,Utilities
2025-11-25,Spotify,973.09,Entertainment
2025-11-26,Kilimall,7467.77,Shopping
2025-11-26,Java House,1262.87,Food
2025-11-26,Subway Westgate,369.04,Food
2025-11-26,Kilimall,7467.77,Shopping
2025-11-26,Java House,1262.87,Food
2025-11-26,Subway Westgate,369.04,Food
2025-11-27,Bolt,96.59,Transport
2025-11-27,Matatu Fare,735.16,Transport
2025-11-27,Bolt,96.59,Transport
2025-11-27,Matatu Fare,735.16,Transport
2025-11-27,Nike Town,7404.73,Shopping
2025-11-27,Nike Town,7404.73,Shopping
2025-11-28,Artcaffe,708.45,Food
2025-11-28,Matatu Fare,256.91,Transport
2025-11-28,Rent Payment,34901.62,Rent
2025-11-28,Matatu Fare,256.91,Transport
2025-11-28,IMAX Westgate,590.09,Entertainment
2025-11-28,Rent Payment,34901.62,Rent
2025-11-28,IMAX Westgate,590.09,Entertainment
2025-11-28,Artcaffe,708.45,Food
2025-11-29,Airtel Kenya,3946.25,Utilities
2025-11-29,Airtel Kenya,3946.25,Utilities
2025-11-29,Bank Transfer,9665.83,Other
2025-11-29,Bank Transfer,9665.83,Other
2025-11-30,Matatu Fare,181.73,Transport
2025-11-30,M-Pesa Send Money,6790.28,Other
2025-11-30,Kenya Power,515.96,Utilities
2025-11-30,Kenya Power,515.96,Utilities
2025-11-30,Matatu Fare,181.73,Transport
2025-11-30,M-Pesa Send Money,6790.28,Other
2025-12-01,Rent Payment,43167.9,Rent
2025-12-01,Spotify,1367.11,Entertainment
2025-12-01,Spotify,1367.11,Entertainment
2025-12-01,Rent Payment,43167.9,Rent
2025-12-02,Uber,83.98,Transport
2025-12-02,Rent Payment,20760.16,Rent
2025-12-02,Artcaffe,2371.51,Food
2025-12-02,Zuku Fibre,4061.21,Utilities
2025-12-02,Chicken Inn,1785.77,Food
2025-12-02,Nairobi Water,2128.98,Utilities
2025-12-02,Uber,188.59,Transport
2025-12-02,Uber,188.59,Transport
2025-12-02,Kenya Bus,107.66,Transport
2025-12-02,Netflix,1482.16,Entertainment
2025-12-02,Rent Payment,20760.16,Rent
2025-12-02,Chicken Inn,1785.77,Food
2025-12-02,Netflix,1482.16,Entertainment
2025-12-02,Zuku Fibre,4061.21,Utilities
2025-12-02,Artcaffe,2371.51,Food
2025-12-02,Uber,83.98,Transport
2025-12-02,Nairobi Water,2128.98,Utilities
2025-12-02,Kenya Bus,107.66,Transport
2025-12-03,Java House,2284.77,Food
2025-12-03,Nairobi Water,4833.02,Utilities
2025-12-03,Kenya Bus,219.01,Transport
2025-12-03,Safaricom,1857.94,Utilities
2025-12-03,Nairobi Water,4833.02,Utilities
2025-12-03,Kenya Bus,219.01,Transport
2025-12-03,Java House,2284.77,Food
2025-12-03,Safaricom,1857.94,Utilities
2025-12-04,AAR Clinic,6491.19,Health
2025-12-04,AAR Clinic,6491.19,Health
2025-12-05,Zara Village Market,6472.33,Shopping
2025-12-05,KFC Nairobi,1495.85,Food
2025-12-05,Shell Petrol,110.43,Transport
2025-12-05,Rent Payment,22677.72,Rent
2025-12-05,Shell Petrol,110.43,Transport
2025-12-05,KFC Nairobi,1495.85,Food
2025-12-05,Steam,364.33,Entertainment
2025-12-05,Steam,364.33,Entertainment
2025-12-05,Rent Payment,22677.72,Rent
2025-12-05,Zara Village Market,6472.33,Shopping
2025-12-06,Uber,535.78,Transport
2025-12-06,Carrefour,1894.68,Food
2025-12-06,Little Cab,330.73,Transport
2025-12-06,Subway Westgate,2438.52,Food
2025-12-06,Haltons Pharmacy,4781.25,Health
2025-12-06,Subway Westgate,2438.52,Food
2025-12-06,Uber,535.78,Transport
2025-12-06,Little Cab,330.73,Transport
2025-12-06,Haltons Pharmacy,4781.25,Health
2025-12-06,Carrefour,1894.68,Food
2025-12-07,IMAX Westgate,1369.6,Entertainment
2025-12-07,Subway Westgate,1216.07,Food
2025-12-07,Subway Westgate,1216.07,Food
2025-12-07,Naivas Supermarket,1933.2,Food
2025-12-07,Nairobi Hospital,5351.34,Health
2025-12-07,Nairobi Hospital,5351.34,Health
2025-12-07,Naivas Supermarket,1933.2,Food
2025-12-07,IMAX Westgate,1369.6,Entertainment
2025-12-08,AAR Clinic,3116.53,Health
2025-12-08,AAR Clinic,3116.53,Health
2025-12-09,Airtel Kenya,4140.7,Utilities
2025-12-09,Airtel Kenya,1188.57,Utilities
2025-12-09,Airtel Kenya,4140.7,Utilities
2025-12-09,Airtel Kenya,1188.57,Utilities
2025-12-10,Goodlife Pharmacy,4120.07,Health
2025-12-10,Haltons Pharmacy,6391.14,Health
2025-12-10,Goodlife Pharmacy,4120.07,Health
2025-12-10,Kilimall,4330.29,Shopping
2025-12-10,Haltons Pharmacy,6391.14,Health
2025-12-10,Kilimall,4330.29,Shopping
2025-12-11,ATM Withdrawal,5293.22,Other
2025-12-11,ATM Withdrawal,5293.22,Other
2025-12-12,Rent Payment,40938.17,Rent
2025-12-12,Rent Payment,27536.55,Rent
2025-12-12,Rent Payment,40938.17,Rent
2025-12-12,Rent Payment,27536.55,Rent
2025-12-13,Jumia,5451.98,Shopping
2025-12-13,Subway Westgate,512.49,Food
2025-12-13,Jumia,5451.98,Shopping
2025-12-13,Subway Westgate,512.49,Food
2025-12-14,AAR Clinic,4651.18,Health
2025-12-14,Carrefour,210.9,Food
2025-12-14,AAR Clinic,4651.18,Health
2025-12-14,Carrefour,210.9,Food
2025-12-15,Haltons Pharmacy,3423.33,Health
2025-12-15,Kenya Power,1618.95,Utilities
2025-12-15,Kenya Power,1618.95,Utilities
2025-12-15,Mama Oliech,514.54,Food
2025-12-15,Haltons Pharmacy,3423.33,Health
2025-12-15,Nairobi Hospital,1908.24,Health
2025-12-15,Nairobi Hospital,1908.24,Health
2025-12-15,Mama Oliech,514.54,Food
2025-12-16,Artcaffe,2454.2,Food
2025-12-16,Carrefour,1396.92,Food
2025-12-16,Artcaffe,2454.2,Food
2025-12-16,Carrefour,1396.92,Food
2025-12-17,Zara Village Market,10221.0,Shopping
2025-12-17,Zara Village Market,10221.0,Shopping
2025-12-18,Spotify,1459.52,Entertainment
2025-12-18,Spotify,1459.52,Entertainment
2025-12-18,KFC Nairobi,252.94,Food
2025-12-18,KFC Nairobi,252.94,Food
2025-12-19,Bolt,359.72,Transport
2025-12-19,Java House,1999.4,Food
2025-12-19,Java House,1999.4,Food
2025-12-19,KFC Nairobi,1836.39,Food
2025-12-19,Chicken Inn,423.16,Food
2025-12-19,Chicken Inn,423.16,Food
2025-12-19,Bolt,359.72,Transport
2025-12-19,KFC Nairobi,1836.39,Food
2025-12-20,Carrefour,2376.84,Food
2025-12-20,Carrefour,2376.84,Food
2025-12-21,Carrefour,322.16,Food
2025-12-21,Carrefour,322.16,Food
2025-12-21,Artcaffe,1804.49,Food
2025-12-21,Little Cab,186.38,Transport
2025-12-21,Rent Payment,17750.2,Rent
2025-12-21,Little Cab,186.38,Transport
2025-12-21,Rent Payment,17750.2,Rent
2025-12-21,Artcaffe,1804.49,Food
2025-12-22,Mr Price,3695.52,Shopping
2025-12-22,Airtel Kenya,3743.78,Utilities
2025-12-22,Airtel Kenya,3743.78,Utilities
2025-12-22,Mr Price,3695.52,Shopping
2025-12-23,Rent Payment,26026.32,Rent
2025-12-23,Mama Oliech,2300.85,Food
2025-12-23,Kenya Power,4002.89,Utilities
2025-12-23,Kenya Power,4002.89,Utilities
2025-12-23,Mama Oliech,2300.85,Food
2025-12-23,Rent Payment,26026.32,Rent
2025-12-23,Subway Westgate,365.53,Food
2025-12-23,Subway Westgate,365.53,Food
2025-12-24,Subway Westgate,1392.78,Food
2025-12-24,Kenya Bus,258.93,Transport
2025-12-24,Subway Westgate,1392.78,Food
2025-12-24,Kenya Bus,258.93,Transport
2025-12-25,Kenya Bus,646.51,Transport
2025-12-25,Zuku Fibre,3990.83,Utilities
2025-12-25,Haltons Pharmacy,4349.08,Health
2025-12-25,Haltons Pharmacy,4349.08,Health
2025-12-25,Kenya Bus,646.51,Transport
2025-12-25,Zuku Fibre,3990.83,Utilities
2025-12-26,KFC Nairobi,1528.0,Food
2025-12-26,Naivas Supermarket,1095.32,Food
2025-12-26,KFC Nairobi,1528.0,Food
2025-12-26,Naivas Supermarket,1095.32,Food
2025-12-27,Mama Oliech,2006.46,Food
2025-12-27,Goodlife Pharmacy,6583.7,Health
2025-12-27,Matatu Fare,137.09,Transport
2025-12-27,Mama Oliech,2006.46,Food
2025-12-27,ATM Withdrawal,9705.46,Other
2025-12-27,ATM Withdrawal,9705.46,Other
2025-12-27,Goodlife Pharmacy,6583.7,Health
2025-12-27,Matatu Fare,137.09,Transport
2025-12-28,Haltons Pharmacy,5033.74,Health
2025-12-28,Rent Payment,44423.24,Rent
2025-12-28,Zuku Fibre,1577.54,Utilities
2025-12-28,Zuku Fibre,1577.54,Utilities
2025-12-28,Rent Payment,44423.24,Rent
2025-12-28,Haltons Pharmacy,5033.74,Health
2025-12-29,KFC Nairobi,1100.34,Food
2025-12-29,Chicken Inn,2453.57,Food
2025-12-29,AAR Clinic,4366.29,Health
2025-12-29,Chicken Inn,2453.57,Food
2025-12-29,AAR Clinic,4366.29,Health
2025-12-29,KFC Nairobi,1100.34,Food
2025-12-29,Goodlife Pharmacy,5984.09,Health
2025-12-29,Goodlife Pharmacy,5984.09,Health
2025-12-30,Zuku Fibre,883.31,Utilities
2025-12-30,Chicken Inn,268.01,Food
2025-12-30,Chicken Inn,268.01,Food
2025-12-30,Zara Village Market,9725.7,Shopping
2025-12-30,Chicken Inn,601.82,Food
2025-12-30,Chicken Inn,601.82,Food
2025-12-30,Zara Village Market,9725.7,Shopping
2025-12-30,Zuku Fibre,883.31,Utilities
2025-12-31,Kenya Bus,457.27,Transport
2025-12-31,Subway Westgate,2455.44,Food
2025-12-31,Mr Price,6312.2,Shopping
2025-12-31,Mr Price,6312.2,Shopping
2025-12-31,Kenya Bus,457.27,Transport
2025-12-31,Subway Westgate,2455.44,Food
2026-01-01,Showmax,858.04,Entertainment
2026-01-01,Showmax,766.1,Entertainment
2026-01-01,Showmax,858.04,Entertainment
2026-01-01,Safaricom,962.62,Utilities
2026-01-01,Showmax,766.1,Entertainment
2026-01-01,Safaricom,962.62,Utilities
2026-01-01,Total Energies,394.19,Transport
2026-01-01,Total Energies,394.19,Transport
2026-01-02,Chicken Inn,577.06,Food
2026-01-02,Chicken Inn,577.06,Food
2026-01-03,ATM Withdrawal,4960.16,Other
2026-01-03,Matatu Fare,52.43,Transport
2026-01-03,Artcaffe,569.63,Food
2026-01-03,Artcaffe,569.63,Food
2026-01-03,ATM Withdrawal,4960.16,Other
2026-01-03,Matatu Fare,52.43,Transport
2026-01-03,Total Energies,394.14,Transport
2026-01-03,Total Energies,394.14,Transport
2026-01-05,Artcaffe,1794.37,Food
2026-01-05,Kilimall,6114.64,Shopping
2026-01-05,Total Energies,264.3,Transport
2026-01-05,Total Energies,264.3,Transport
2026-01-05,Kilimall,6114.64,Shopping
2026-01-05,Mr Price,6604.8,Shopping
2026-01-05,Artcaffe,1794.37,Food
2026-01-05,Shell Petrol,381.53,Transport
2026-01-05,Zuku Fibre,630.29,Utilities
2026-01-05,Mr Price,6604.8,Shopping
2026-01-05,Shell Petrol,381.53,Transport
2026-01-05,Zuku Fibre,630.29,Utilities
2026-01-06,Matatu Fare,311.6,Transport
2026-01-06,Bolt,99.26,Transport
2026-01-06,Showmax,1336.83,Entertainment
2026-01-06,Chicken Inn,1622.86,Food
2026-01-06,Chicken Inn,1622.86,Food
2026-01-06,Bolt,99.26,Transport
2026-01-06,Matatu Fare,311.6,Transport
2026-01-06,Showmax,1336.83,Entertainment
2026-01-07,Kenya Power,2813.7,Utilities
2026-01-07,Spotify,677.26,Entertainment
2026-01-07,Showmax,806.26,Entertainment
2026-01-07,KFC Nairobi,1086.4,Food
2026-01-07,KFC Nairobi,1086.4,Food
2026-01-07,Showmax,806.26,Entertainment
2026-01-07,Kenya Power,2813.7,Utilities
2026-01-07,Spotify,677.26,Entertainment
2026-01-08,Showmax,736.68,Entertainment
2026-01-08,Showmax,736.68,Entertainment
2026-01-08,Woolworths,10288.41,Shopping
2026-01-08,Woolworths,10288.41,Shopping
2026-01-09,Safaricom,1807.04,Utilities
2026-01-09,AAR Clinic,5123.06,Health
2026-01-09,Kenya Bus,50.3,Transport
2026-01-09,Bolt,616.93,Transport
2026-01-09,AAR Clinic,5123.06,Health
2026-01-09,Safaricom,1807.04,Utilities
2026-01-09,Kenya Bus,50.3,Transport
2026-01-09,Bolt,616.93,Transport
2026-01-10,Kilimall,11271.0,Shopping
2026-01-10,Netflix,468.16,Entertainment
2026-01-10,Kilimall,11271.0,Shopping
2026-01-10,Netflix,468.16,Entertainment
2026-01-11,Steam,457.69,Entertainment
2026-01-11,Jumia,8971.11,Shopping
2026-01-11,Nike Town,4412.02,Shopping
2026-01-11,Nike Town,4412.02,Shopping
2026-01-11,Steam,457.69,Entertainment
2026-01-11,Jumia,8971.11,Shopping
2026-01-12,Steam,1280.52,Entertainment
2026-01-12,Artcaffe,678.44,Food
2026-01-12,Matatu Fare,792.96,Transport
2026-01-12,M-Pesa Send Money,2599.91,Other
2026-01-12,Matatu Fare,792.96,Transport
2026-01-12,Naivas Supermarket,814.67,Food
2026-01-12,Uber,757.06,Transport
2026-01-12,Uber,757.06,Transport
2026-01-12,Steam,1280.52,Entertainment
2026-01-12,M-Pesa Send Money,2599.91,Other
2026-01-12,Naivas Supermarket,814.67,Food
2026-01-12,Artcaffe,678.44,Food
2026-01-13,Artcaffe,2391.98,Food
2026-01-13,Haltons Pharmacy,7293.22,Health
2026-01-13,AAR Clinic,5001.02,Health
2026-01-13,Artcaffe,2391.98,Food
2026-01-13,Bank Transfer,1689.12,Other
2026-01-13,AAR Clinic,5001.02,Health
2026-01-13,Bank Transfer,1689.12,Other
2026-01-13,Haltons Pharmacy,7293.22,Health
2026-01-14,Total Energies,390.31,Transport
2026-01-14,Total Energies,390.31,Transport
2026-01-14,Bank Transfer,5238.22,Other
2026-01-14,Chicken Inn,1388.3,Food
2026-01-14,Bank Transfer,5238.22,Other
2026-01-14,Chicken Inn,1388.3,Food
2026-01-15,Java House,2304.35,Food
2026-01-15,Java House,2304.35,Food
2026-01-15,Uber,346.83,Transport
2026-01-15,Uber,346.83,Transport
2026-01-16,IMAX Westgate,545.11,Entertainment
2026-01-16,DStv,373.15,Entertainment
2026-01-16,Subway Westgate,962.36,Food
2026-01-16,IMAX Westgate,545.11,Entertainment
2026-01-16,Matatu Fare,740.87,Transport
2026-01-16,Matatu Fare,740.87,Transport
2026-01-16,Subway Westgate,962.36,Food
2026-01-16,Little Cab,505.0,Transport
2026-01-16,Little Cab,505.0,Transport
2026-01-16,Carrefour,1845.02,Food
2026-01-16,Carrefour,1845.02,Food
2026-01-16,DStv,373.15,Entertainment
2026-01-17,Airtel Kenya,2210.04,Utilities
2026-01-17,Woolworths,1348.13,Shopping
2026-01-17,Woolworths,1348.13,Shopping
2026-01-17,Airtel Kenya,2210.04,Utilities
2026-01-18,Carrefour,889.12,Food
2026-01-18,Carrefour,889.12,Food
2026-01-19,IMAX Westgate,423.12,Entertainment
2026-01-19,Uber,353.77,Transport
2026-01-19,Uber,353.77,Transport
2026-01-19,IMAX Westgate,423.12,Entertainment
2026-01-21,Goodlife Pharmacy,594.51,Health
2026-01-21,M-Pesa Send Money,8796.16,Other
2026-01-21,Carrefour,1963.03,Food
2026-01-21,Carrefour,1963.03,Food
2026-01-21,Kenya Power,1307.12,Utilities
2026-01-21,Kenya Power,1307.12,Utilities
2026-01-21,Goodlife Pharmacy,594.51,Health
2026-01-21,M-Pesa Send Money,8796.16,Other
2026-01-22,Bolt,391.02,Transport
2026-01-22,Goodlife Pharmacy,672.78,Health
2026-01-22,Goodlife Pharmacy,672.78,Health
2026-01-22,Bolt,391.02,Transport
2026-01-22,Bank Transfer,7592.31,Other
2026-01-22,Bank Transfer,7592.31,Other
2026-01-23,Netflix,840.63,Entertainment
2026-01-23,Bolt,763.38,Transport
2026-01-23,Spotify,874.46,Entertainment
2026-01-23,Spotify,874.46,Entertainment
2026-01-23,Bolt,763.38,Transport
2026-01-23,Netflix,840.63,Entertainment
2026-01-24,Netflix,830.08,Entertainment
2026-01-24,Nairobi Water,2923.61,Utilities
2026-01-24,Woolworths,9500.31,Shopping
2026-01-24,Zuku Fibre,3803.9,Utilities
2026-01-24,Zuku Fibre,3803.9,Utilities
2026-01-24,Nairobi Water,2923.61,Utilities
2026-01-24,Netflix,830.08,Entertainment
2026-01-24,Woolworths,9500.31,Shopping
2026-01-24,Mr Price,9567.98,Shopping
2026-01-24,Mr Price,9567.98,Shopping
2026-01-25,M-Pesa Send Money,1763.4,Other
2026-01-25,Mr Price,11097.68,Shopping
2026-01-25,Mr Price,11097.68,Shopping
2026-01-25,M-Pesa Send Money,1763.4,Other
2026-01-26,Carrefour,1698.61,Food
2026-01-26,Bolt,211.36,Transport
2026-01-26,Nairobi Hospital,1468.7,Health
2026-01-26,Nairobi Hospital,4813.07,Health
2026-01-26,Bolt,211.36,Transport
2026-01-26,Nairobi Hospital,4813.07,Health
2026-01-26,Steam,446.68,Entertainment
2026-01-26,Steam,446.68,Entertainment
2026-01-26,Carrefour,1698.61,Food
2026-01-26,Nairobi Hospital,1468.7,Health
2026-01-28,Nike Town,7833.55,Shopping
2026-01-28,Chicken Inn,2383.8,Food
2026-01-28,Goodlife Pharmacy,4283.18,Health
2026-01-28,Chicken Inn,2105.26,Food
2026-01-28,Goodlife Pharmacy,4283.18,Health
2026-01-28,Uber,133.9,Transport
2026-01-28,Chicken Inn,2383.8,Food
2026-01-28,Chicken Inn,2105.26,Food
2026-01-28,Uber,133.9,Transport
2026-01-28,Nike Town,7833.55,Shopping
2026-01-30,Little Cab,74.54,Transport
2026-01-30,Java House,1745.8,Food
2026-01-30,Java House,1432.14,Food
2026-01-30,Safaricom,2248.91,Utilities
2026-01-30,Zuku Fibre,1729.47,Utilities
2026-01-30,Carrefour,2317.23,Food
2026-01-30,Little Cab,74.54,Transport
2026-01-30,Java House,1432.14,Food
2026-01-30,Java House,1745.8,Food
2026-01-30,Safaricom,2248.91,Utilities
2026-01-30,Zuku Fibre,1729.47,Utilities
2026-01-30,Carrefour,2317.23,Food
2026-01-31,Uber,270.03,Transport
2026-01-31,Carrefour,1899.78,Food
2026-01-31,Uber,270.03,Transport
2026-01-31,Carrefour,1899.78,Food
2026-02-01,Woolworths,1935.5,Shopping
2026-02-01,Woolworths,1935.5,Shopping
2026-02-01,Netflix,671.5,Entertainment
2026-02-01,IMAX Westgate,990.96,Entertainment
2026-02-01,Netflix,671.5,Entertainment
2026-02-01,IMAX Westgate,990.96,Entertainment
2026-02-02,Bank Transfer,1471.0,Other
2026-02-02,Bank Transfer,7809.67,Other
2026-02-02,Subway Westgate,1712.58,Food
2026-02-02,Subway Westgate,1712.58,Food
2026-02-02,Bank Transfer,1471.0,Other
2026-02-02,Matatu Fare,181.77,Transport
2026-02-02,Bank Transfer,9932.14,Other
2026-02-02,Matatu Fare,181.77,Transport
2026-02-02,Chicken Inn,1807.29,Food
2026-02-02,Bank Transfer,1513.21,Other
2026-02-02,Bank Transfer,1513.21,Other
2026-02-02,Bank Transfer,7809.67,Other
